
# Curve 0 of 1, 100 points
# Curve title: "f(x,y)"
# x y type
-1 -1.10923e+18  o
-0.585859 -6.4985e+17  o
-0.171717 -1.90473e+17  o
 0.242424  2.68904e+17  o
 0.656566  7.2828e+17  o
 1.07071  1.18766e+18  o
 1.48485  1.64703e+18  o
 1.89899  2.10641e+18  o
 2.31313  2.56579e+18  o
 2.72727  3.02516e+18  o
 3.14141  3.48454e+18  o
 3.55556  3.94392e+18  o
 3.9697  4.40329e+18  o
 4.38384  4.86267e+18  o
 4.79798  5.32205e+18  o
 5.21212  5.78143e+18  o
 5.62626  6.2408e+18  o
 6.0404  6.70018e+18  o
 6.45455  7.15956e+18  o
 6.86869  7.61893e+18  o
 7.28283  8.07831e+18  o
 7.69697  8.53769e+18  o
 8.11111  8.99706e+18  o
 8.52525  9.45644e+18  o
 8.93939  9.91582e+18  o
 9.35354  1.03752e+19  o
 9.76768  1.08346e+19  o
 10.1818  1.12939e+19  o
 10.596  1.17533e+19  o
 11.0101  1.22127e+19  o
 11.4242  1.26721e+19  o
 11.8384  1.31315e+19  o
 12.2525  1.35908e+19  o
 12.6667  1.40502e+19  o
 13.0808  1.45096e+19  o
 13.4949  1.4969e+19  o
 13.9091  1.54283e+19  o
 14.3232  1.58877e+19  o
 14.7374  1.63471e+19  o
 15.1515  1.68065e+19  o
 15.5657  1.72658e+19  o
 15.9798  1.77252e+19  o
 16.3939  1.81846e+19  o
 16.8081  1.8644e+19  o
 17.2222  1.91034e+19  o
 17.6364  1.95627e+19  o
 18.0505  2.00221e+19  o
 18.4646  2.04815e+19  o
 18.8788  2.09409e+19  o
 19.2929  2.14002e+19  o
 19.7071  2.18596e+19  o
 20.1212  2.2319e+19  o
 20.5354  2.27784e+19  o
 20.9495  2.32377e+19  o
 21.3636  2.36971e+19  o
 21.7778  2.41565e+19  o
 22.1919  2.46159e+19  o
 22.6061  2.50753e+19  o
 23.0202  2.55346e+19  o
 23.4343  2.5994e+19  o
 23.8485  2.64534e+19  o
 24.2626  2.69128e+19  o
 24.6768  2.73721e+19  o
 25.0909  2.78315e+19  o
 25.5051  2.82909e+19  o
 25.9192  2.87503e+19  o
 26.3333  2.92096e+19  o
 26.7475  2.9669e+19  o
 27.1616  3.01284e+19  o
 27.5758  3.05878e+19  o
 27.9899  3.10471e+19  o
 28.404  3.15065e+19  o
 28.8182  3.19659e+19  o
 29.2323  3.24253e+19  o
 29.6465  3.28847e+19  o
 30.0606  3.3344e+19  o
 30.4747  3.38034e+19  o
 30.8889  3.42628e+19  o
 31.303  3.47222e+19  o
 31.7172  3.51815e+19  o
 32.1313  3.56409e+19  o
 32.5455  3.61003e+19  o
 32.9596  3.65597e+19  o
 33.3737  3.7019e+19  o
 33.7879  3.74784e+19  o
 34.202  3.79378e+19  o
 34.6162  3.83972e+19  o
 35.0303  3.88566e+19  o
 35.4444  3.93159e+19  o
 35.8586  3.97753e+19  o
 36.2727  4.02347e+19  o
 36.6869  4.06941e+19  o
 37.101  4.11534e+19  o
 37.5152  4.16128e+19  o
 37.9293  4.20722e+19  o
 38.3434  4.25316e+19  o
 38.7576  4.29909e+19  o
 39.1717  4.34503e+19  o
 39.5859  4.39097e+19  o
 40  4.43691e+19  o

